Column,Treatment,Column_Length,Destruction,X,Y,Block
C01,Digestate,35,1,1,1,Block 1
C02,Mineral,65,3,4,1,Block 1
C03,Mineral,35,2,1.5,1.5,Block 1
C04,Manure,65,2,4.5,1.5,Block 1
C05,Manure,35,3,1,2,Block 1
C06,Manure,65,1,4,2,Block 1
C07,Digestate,35,3,2,1,Block 1
C08,Mineral,65,2,5,1,Block 1
C09,Manure,35,1,2.5,1.5,Block 1
C10,Manure,65,3,5.5,1.5,Block 1
C11,Mineral,35,1,2,2,Block 1
C12,Digestate,65,2,5,2,Block 1
C13,Mineral,35,3,3,1,Block 1
C14,Digestate,65,1,6,1,Block 1
C15,Digestate,35,2,3.5,1.5,Block 1
C16,Mineral,65,1,6.5,1.5,Block 1
C17,Manure,35,2,3,2,Block 1
C18,Digestate,65,3,6,2,Block 1
C19,Manure,35,2,1,1,Block 2
C20,Mineral,65,3,4,1,Block 2
C21,Mineral,35,1,1.5,1.5,Block 2
C22,Digestate,65,3,4.5,1.5,Block 2
C23,Manure,35,3,1,2,Block 2
C24,Manure,65,3,4,2,Block 2
C25,Mineral,35,2,2,1,Block 2
C26,Manure,65,2,5,1,Block 2
C27,Mineral,35,3,2.5,1.5,Block 2
C28,Digestate,65,2,5.5,1.5,Block 2
C29,Digestate,35,2,2,2,Block 2
C30,Manure,65,1,5,2,Block 2
C31,Digestate,35,3,3,1,Block 2
C32,Digestate,65,1,6,1,Block 2
C33,Digestate,35,1,3.5,1.5,Block 2
C34,Mineral,65,1,6.5,1.5,Block 2
C35,Manure,35,1,3,2,Block 2
C36,Mineral,65,2,6,2,Block 2
C37,Digestate,35,3,1,1,Block 3
C38,Manure,65,1,4,1,Block 3
C39,Manure,35,3,1.5,1.5,Block 3
C40,Mineral,65,1,4.5,1.5,Block 3
C41,Mineral,35,2,1,2,Block 3
C42,Manure,65,3,4,2,Block 3
C43,Digestate,35,1,2,1,Block 3
C44,Digestate,65,3,5,1,Block 3
C45,Mineral,35,1,2.5,1.5,Block 3
C46,Digestate,65,2,5.5,1.5,Block 3
C47,Digestate,35,2,2,2,Block 3
C48,Mineral,65,2,5,2,Block 3
C49,Manure,35,1,3,1,Block 3
C50,Digestate,65,1,6,1,Block 3
C51,Mineral,35,3,3.5,1.5,Block 3
C52,Manure,65,2,6.5,1.5,Block 3
C53,Manure,35,2,3,2,Block 3
C54,Mineral,65,3,6,2,Block 3
