PLATE_ID,ZONE_mm,NOTES,DATE PLATED,DATE RECORDED,Column,Antibiotic
C49_D1_R2_IS2_1A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_1B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2A,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C49_D1_R2_IS2_2B,0,,[2.20.2023],[4.3.2023],C49,Erythromycin
C02_D1_R1_IS1_1A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D1_R1_IS1_1B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D1_R1_IS1_2A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D1_R1_IS1_2B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R1_IS3_1A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R1_IS3_1B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R1_IS3_2A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R1_IS3_2B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R2_IS1_1A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R2_IS1_1B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R2_IS1_2A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C02_D3_R2_IS1_2B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C02,Erythromycin
C28_D1_R2_IS2_1A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C28,Erythromycin
C28_D1_R2_IS2_1B,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C28,Erythromycin
C28_D1_R2_IS2_2A,0,Slight phenotypic change,[4.4.2023],[4.5.2023],C28,Erythromycin
