Cultures plated,,COLUMN,COLUMN_D,C_D_R,C_D_R_IS
C01_D6_R1_IS1_1A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS1
C01_D6_R1_IS1_1B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS1
C01_D6_R1_IS1_2A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS1
C01_D6_R1_IS1_2B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS1
C01_D6_R1_IS2_1A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS2
C01_D6_R1_IS2_1B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS2
C01_D6_R1_IS2_2A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS2
C01_D6_R1_IS2_2B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS2
C01_D6_R1_IS3_1A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS3
C01_D6_R1_IS3_1B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS3
C01_D6_R1_IS3_2A,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS3
C01_D6_R1_IS3_2B,,C01,C01_D6,C01_D6_R1,C01_D6_R1_IS3
C01_D6_R2_IS1_1A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS1
C01_D6_R2_IS1_1B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS1
C01_D6_R2_IS1_2A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS1
C01_D6_R2_IS1_2B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS1
C01_D6_R2_IS2_1A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS2
C01_D6_R2_IS2_1B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS2
C01_D6_R2_IS2_2A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS2
C01_D6_R2_IS2_2B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS2
C01_D6_R2_IS3_1A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS3
C01_D6_R2_IS3_1B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS3
C01_D6_R2_IS3_2A,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS3
C01_D6_R2_IS3_2B,,C01,C01_D6,C01_D6_R2,C01_D6_R2_IS3
C01_D6_R3_IS1_1A,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS1
C01_D6_R3_IS1_1B,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS1
C01_D6_R3_IS1_2A,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS1
C01_D6_R3_IS1_2B,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS1
C01_D6_R3_IS2_1A,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS2
C01_D6_R3_IS2_1B,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS2
C01_D6_R3_IS2_2A,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS2
C01_D6_R3_IS2_2B,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS2
C01_D6_R3_IS3_1A,,C01,C01_D6,C01_D6_R3,C01_D6_R3_IS3
