PLATE_ID,COLUMN_TREATMENT,Date cultured,Date plated,Date results ,ZONE_mm,Classification_R_I_S,COLUMN,,,,,,,,,
C_C03_D3_R1_IS1_1A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_1B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_2A,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS1_2B,C,4/3/23,4/10/23,4/12/23,0,R,C03,,,,,,,,,
C_C03_D3_R1_IS2_1A,C,4/3/23,4/10/23,4/12/23,15,I,C03,,,,,,,,,
C_C03_D3_R1_IS2_1B,C,4/3/23,4/10/23,4/12/23,15,I,C03,,,,,,,,,
C_C03_D3_R1_IS2_2A,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R1_IS2_2B,C,4/3/23,4/10/23,4/12/23,17,I,C03,,,,,,,,,
C_C03_D3_R2_IS1_1A,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_1B,C,4/3/23,4/10/23,4/12/23,22,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_2A,C,4/3/23,4/10/23,4/12/23,22,S,C03,,,,,,,,,
C_C03_D3_R2_IS1_2B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_1A,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_1B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_2A,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R2_IS2_2B,C,4/3/23,4/10/23,4/12/23,25,S,C03,,,,,,,,,
C_C03_D3_R3_IS1_1A,C,4/3/23,4/10/23,4/12/23,17,I,C03,,,,,,,,,
C_C03_D3_R3_IS1_1B,C,4/3/23,4/10/23,4/12/23,20,S,C03,,,,,,,,,
